# SST camera window transmission for vertical incidence used for LST simulation
# Averaged over position across the window
#
#W.L.[nm]	Transmissivity [%]
701	-0.000557
702	-0.002433
703	-0.004405
704	-0.005120
705	-0.004371
706	-0.003195
707	-0.002626
708	-0.002916
709	-0.003895
710	-0.005199
711	-0.006536
712	-0.007991
713	-0.009280
714	-0.009277
715	-0.007061
716	-0.003323
717	0.000601
718	0.003918
719	0.006555
720	0.008668
721	0.010127
722	0.010901
723	0.011085
724	0.010583
725	0.009543
726	0.008335
727	0.007553
728	0.007731
729	0.008996
730	0.010838
731	0.012581
732	0.013895
733	0.014642
734	0.014928
735	0.014948
736	0.014966
737	0.015140
738	0.015013
739	0.014218
740	0.013278
741	0.013083
742	0.013807
743	0.014401
744	0.013595
745	0.011494
746	0.009642
747	0.009461
748	0.010867
749	0.012745
750	0.014104
751	0.014184
752	0.013238
753	0.012496
754	0.012407
755	0.012342
756	0.011764
757	0.010739
758	0.009834
759	0.009802
760	0.010856
761	0.012478
762	0.013770
763	0.014095
764	0.013890
765	0.014174
766	0.015205
767	0.016356
768	0.017047
769	0.017188
770	0.016994
771	0.016618
772	0.016104
773	0.015771
774	0.016361
775	0.018208
776	0.020499
777	0.021967
778	0.022202
779	0.021990
780	0.021915
781	0.022103
782	0.022647
783	0.023256
784	0.023339
785	0.022673
786	0.021586
787	0.020689
788	0.020459
789	0.020868
790	0.021461
791	0.021899
792	0.022152
793	0.022252
794	0.022121
795	0.022046
796	0.021954
797	0.021065
798	0.019478
799	0.018262
800	0.018217
801	0.018988
802	0.019384
803	0.018909
804	0.018385
805	0.018513
806	0.018719
807	0.017898
808	0.015843
809	0.013021
810	0.010304
811	0.009481
812	0.012336
813	0.017786
814	0.021839
815	0.022798
816	0.022262
817	0.021942
818	0.021914
819	0.021292
820	0.020269
821	0.019929
822	0.020002
823	0.019139
824	0.016414
825	0.012737
826	0.010440
827	0.011509
828	0.016025
829	0.021962
830	0.026349
831	0.027030
832	0.024060
833	0.020367
834	0.019034
835	0.021266
836	0.025600
837	0.028921
838	0.029784
839	0.029726
840	0.030192
841	0.030691
842	0.030036
843	0.028027
844	0.026003
845	0.025946
846	0.027982
847	0.030366
848	0.031907
849	0.032438
850	0.032606
851	0.033304
852	0.034181
853	0.034694
854	0.035409
855	0.037246
856	0.040189
857	0.043470
858	0.046586
859	0.049708
860	0.053291
861	0.057129
862	0.060570
863	0.063174
864	0.064105
865	0.062962
866	0.061414
867	0.062283
868	0.067649
869	0.077258
870	0.088431
871	0.098861
872	0.107975
873	0.116377
874	0.125232
875	0.134602
876	0.144438
877	0.155215
878	0.166721
879	0.179267
880	0.194861
881	0.213348
882	0.233792
883	0.257241
884	0.283929
885	0.313137
886	0.342586
887	0.370462
888	0.397182
889	0.423277
890	0.450465
891	0.478379
892	0.507140
893	0.536220
894	0.565875
895	0.593286
896	0.616455
897	0.635067
898	0.651050
899	0.666823
900	0.682285
901	0.695241
902	0.701954
903	0.701495
904	0.697071
905	0.693161
906	0.690022
907	0.684652
908	0.674643
909	0.659454
910	0.640437
911	0.621269
912	0.604616
913	0.590018
914	0.573610
915	0.554025
916	0.534014
917	0.516536
918	0.503450
919	0.494196
920	0.487020
921	0.478268
922	0.464873
923	0.448589
924	0.436171
925	0.434152
926	0.444215
927	0.458251
928	0.458134
929	0.432619
930	0.397241
931	0.378574
932	0.384030
933	0.400625
934	0.416177
935	0.426459
936	0.429621
937	0.421060
938	0.395583
939	0.357174
940	0.323095
941	0.321417
942	0.361850
943	0.389631
944	0.350850
945	0.284628
946	0.279511
947	0.346736
948	0.431402
949	0.485227
950	0.505883
951	0.513240
952	0.522302
953	0.532680
954	0.537775
955	0.535695
956	0.533222
957	0.535670
958	0.541283
959	0.547020
960	0.552787
961	0.560358
962	0.572196
963	0.587212
964	0.602362
965	0.613910
966	0.619822
967	0.621683
968	0.625447
969	0.637298
970	0.656993
971	0.676616
972	0.688530
973	0.692502
974	0.692297
975	0.691047
976	0.689786
977	0.686405
978	0.677697
979	0.664569
980	0.652956
981	0.646998
982	0.645985
983	0.648355
984	0.654771
985	0.664184
986	0.672666
987	0.677011
988	0.677171
989	0.674736
990	0.670935
991	0.666804
992	0.662940
993	0.659551
994	0.657520
995	0.657714
996	0.658767
997	0.659926
998	0.661021
999	0.657485
1000	0.646427
